VIN	V(vin)	V(vout)
Step Information: Wn=1µ Wp_ratio=1.5  (Step: 1/14)
1.010000000000000e+00	1.010000e+00	3.104985e-09
1.020000000000000e+00	1.020000e+00	3.054905e-09
1.030000000000000e+00	1.030000e+00	3.006414e-09
1.040000000000000e+00	1.040000e+00	2.959439e-09
1.050000000000000e+00	1.050000e+00	2.913909e-09
1.060000000000000e+00	1.060000e+00	2.869759e-09
1.070000000000000e+00	1.070000e+00	2.826926e-09
1.080000000000000e+00	1.080000e+00	2.785354e-09
1.090000000000000e+00	1.090000e+00	2.744987e-09
1.100000000000000e+00	1.100000e+00	2.705772e-09
1.110000000000000e+00	1.110000e+00	2.667663e-09
1.120000000000000e+00	1.120000e+00	2.630612e-09
1.130000000000000e+00	1.130000e+00	2.594577e-09
1.140000000000000e+00	1.140000e+00	2.559515e-09
1.150000000000000e+00	1.150000e+00	2.525388e-09
1.160000000000000e+00	1.160000e+00	2.492159e-09
1.170000000000000e+00	1.170000e+00	2.459793e-09
1.180000000000000e+00	1.180000e+00	2.428257e-09
1.190000000000000e+00	1.190000e+00	2.397520e-09
1.200000000000000e+00	1.200000e+00	2.367551e-09
Step Information: Wn=2µ Wp_ratio=1.5  (Step: 2/14)
0.000000000000000e+00	0.000000e+00	1.200000e+00
1.000000000000000e-02	1.000000e-02	1.200000e+00
2.000000000000000e-02	2.000000e-02	1.200000e+00
3.000000000000000e-02	3.000000e-02	1.200000e+00
4.000000000000000e-02	4.000000e-02	1.200000e+00
5.000000000000000e-02	5.000000e-02	1.200000e+00
6.000000000000000e-02	6.000000e-02	1.200000e+00
7.000000000000001e-02	7.000000e-02	1.200000e+00
8.000000000000000e-02	8.000000e-02	1.200000e+00
9.000000000000000e-02	9.000000e-02	1.200000e+00
1.000000000000000e-01	1.000000e-01	1.200000e+00
1.100000000000000e-01	1.100000e-01	1.200000e+00
1.200000000000000e-01	1.200000e-01	1.200000e+00
1.300000000000000e-01	1.300000e-01	1.200000e+00
1.400000000000000e-01	1.400000e-01	1.200000e+00
1.500000000000000e-01	1.500000e-01	1.200000e+00
1.600000000000000e-01	1.600000e-01	1.200000e+00
1.700000000000000e-01	1.700000e-01	1.200000e+00
